WA0NGMCP37658,MW0NGMCP37658,LangBo:u rgyan nyid kyi zhal chems lung phyang rin chen gser 'phreng bzhugs man ngag rin chen chos kyi gter mdzod las | phyag rgya chen po/
WA0NGMCP37659,MW0NGMCP37659,LangBo:bde 'dus sman sgrub dang sbyar ba bdun gcig ma'i lugs kyi zin tho nag 'gros ma/
WA0NGMCP37660,MW0NGMCP37660,LangBo:lha mo bu rdzi ma'i sgo nas sri'u gsol ba'i cho ga bai DUr ya'i khang bzang mthong ba don ldan phan bde'i lam bzang /
WA0NGMCP37661,MW0NGMCP37661,P1691:LangBo:rig 'dzin srog sgrub las kha byang nyi ma'i 'khor lo/
WA0NGMCP37662,MW0NGMCP37662,P5254:LangBo:lha sras mu ti btsan po la lha'i dbang po brgya byin gyis lung bstan sbas yul bdun gyi spyi thems ma 'ongs lung bstan/
WA0NGMCP37663,MW0NGMCP37663,P5254:LangBo:bskul byang 'bring chen mo lugs kyi gzhung shing 'dra ba/
WA0NGMCP37664,MW0NGMCP37664,LangBo:tshe sgrub ga'u nang ma yang zer | padma'i thugs dam sku lnga rig 'dus bde bar bshegs pa'i srog sgrub 'chi med 'od kyi thig le las padma'i zhal gdams kog yig lung bstan/
WA0NGMCP37665,MW0NGMCP37665,mchog gi de kho nyid kun tu spyod pa rdo rje glu gsang chen rgya mtsho'i sprin gyi rol ba phyogs kyi nye bar 'gro ba'i rim pa/
WA0NGMCP37666,MW0NGMCP37666,LangBo:dpal 'khor lo sdom pa'i bstod pa dhandha bka' bstod/
WA0NGMCP37667,MW0NGMCP37667,P385:LangBo:dpal phyogs thams cad las rnam par rgyal ba 'jigs bral zhabs kyi rnam par thar pa ngo mtshar gyis rgya mtsho/
WA0NGMCP37668,MW0NGMCP37668,LangBo:yongs 'dzin dam pa rje btsun blo bzang tshul khrims dpal bzang po'i gsung las bya btang yo byad da ma ru gra phad 'khol me cog bu rkang gling rnams kyi bshad pa bkra shis lhun po'i gnas bstod/
WA0NGMCP37669,MW0NGMCP37669,LangBo:zab lam 'pho ba'i gdams pa 'jag tshugs ma'i lo rgyus gdams ngag khrid yig dang bcas pa/
WA0NGMCP37670,MW0NGMCP37670,P1428:LangBo:sgrol ma'i 'grel pa/
WA0NGMCP37671,MW0NGMCP37671,P798:LangBo:swa sti pra dza bhya bla ma zhi khro'i tshe bsgrub dang dbang bskur tshul gyi cho ga 'chi med rdo rje'i rgya mdud/
WA0NGMCP37672,MW0NGMCP37672,LangBo:gangs ri'i gsol 'debs/
